DeviceName,DeviceDateTime,BatteryStatus,CommId,GPS Confidence,GPS Fail Counter,GpsQuality,Latitude,Longitude
0-4351296,2023-03-10 05:59:47,GOOD,0-4351296,0,0,3,48.357793,-4.560378
0-4351902,2023-03-10 05:55:53,GOOD,0-4351902,0,0,3,48.357836,-4.56042
0-4351296,2023-03-10 05:54:49,GOOD,0-4351296,0,0,3,48.357868,-4.560442
0-4351902,2023-03-10 05:50:52,GOOD,0-4351902,0,0,3,48.357836,-4.560399
0-4351296,2023-03-10 05:49:49,GOOD,0-4351296,0,0,3,48.357804,-4.560442
0-4351902,2023-03-10 05:45:53,GOOD,0-4351902,0,0,3,48.357846,-4.560399
0-4351296,2023-03-10 05:44:46,GOOD,0-4351296,0,0,3,48.357782,-4.560442
0-4351902,2023-03-10 05:40:53,GOOD,0-4351902,0,0,3,48.357846,-4.560442
0-4351296,2023-03-10 05:39:46,GOOD,0-4351296,0,0,3,48.357793,-4.560399
0-4351902,2023-03-10 05:35:55,GOOD,0-4351902,0,0,3,48.357868,-4.560485
0-4351296,2023-03-10 05:34:48,GOOD,0-4351296,0,0,3,48.357761,-4.560399
0-4351902,2023-03-10 05:30:57,GOOD,0-4351902,0,0,3,48.357846,-4.560463
0-4351296,2023-03-10 05:29:52,GOOD,0-4351296,0,0,3,48.357793,-4.560399
0-4351902,2023-03-10 05:25:54,GOOD,0-4351902,0,0,3,48.357879,-4.56042
0-4351296,2023-03-10 05:24:54,GOOD,0-4351296,0,0,3,48.357793,-4.560378
0-4351902,2023-03-10 05:20:55,GOOD,0-4351902,0,0,3,48.357932,-4.560485
0-4351296,2023-03-10 05:19:46,GOOD,0-4351296,0,0,3,48.357793,-4.560442
0-4351902,2023-03-10 05:15:55,GOOD,0-4351902,0,0,3,48.3579,-4.560463
0-4351296,2023-03-10 05:14:48,GOOD,0-4351296,0,0,3,48.357804,-4.560528
0-4351902,2023-03-10 05:10:55,GOOD,0-4351902,0,0,3,48.357857,-4.560485
0-4351296,2023-03-10 05:09:45,GOOD,0-4351296,0,0,3,48.357739,-4.560506
0-4351902,2023-03-10 05:05:54,GOOD,0-4351902,0,0,3,48.357943,-4.560528
