,dt
533,299.0
534,602.0
535,299.0
536,326.0
537,583.0
538,292.0
539,301.0
540,301.0
541,299.0
542,301.0
543,301.0
544,600.0
545,301.0
546,332.0
547,268.0
548,301.0
549,300.0
550,311.0
551,289.0
552,301.0
553,601.0
554,308.0
555,387.0
556,535.0
557,271.0
558,300.0
559,602.0
560,307.0
561,300.0
562,600.0
563,295.0
564,307.0
565,618.0
566,276.0
567,301.0
568,300.0
569,300.0
570,308.0
571,292.0
572,601.0
573,300.0
574,308.0
575,294.0
576,320.0
577,279.0
578,301.0
579,301.0
580,309.0
581,592.0
582,300.0
583,301.0
584,300.0
585,301.0
586,300.0
587,333.0
588,268.0
589,307.0
590,294.0
591,300.0
592,308.0
593,292.0
594,301.0
595,301.0
596,900.0
597,330.0
598,270.0
599,307.0
600,295.0
601,300.0
602,308.0
603,300.0
604,600.0
605,594.0
606,300.0
607,326.0
608,575.0
609,301.0
610,607.0
611,299.0
612,296.0
613,300.0
614,300.0
615,307.0
616,301.0
617,315.0
618,286.0
619,293.0
620,300.0
621,608.0
622,292.0
623,602.0
624,301.0
625,298.0
626,630.0
627,272.0
628,300.0
629,301.0
630,901.0
631,300.0
632,301.0
633,300.0
634,301.0
635,309.0
636,315.0
637,286.0
638,291.0
639,300.0
640,301.0
641,308.0
642,293.0
643,300.0
644,300.0
645,301.0
646,300.0
647,299.0
648,321.0
649,281.0
650,608.0
651,293.0
652,300.0
653,301.0
654,307.0
655,300.0
656,294.0
657,601.0
658,333.0
659,568.0
660,308.0
661,292.0
662,601.0
663,301.0
664,298.0
665,302.0
666,301.0
667,300.0
668,607.0
669,294.0
670,300.0
671,300.0
672,308.0
673,294.0
674,300.0
675,301.0
676,300.0
677,299.0
678,299.0
679,903.0
680,301.0
681,300.0
682,300.0
683,307.0
684,294.0
685,601.0
686,301.0
687,299.0
688,322.0
689,279.0
690,301.0
691,601.0
692,301.0
693,309.0
694,893.0
695,300.0
696,300.0
697,328.0
698,271.0
699,300.0
700,301.0
701,301.0
702,308.0
703,593.0
704,298.0
705,911.0
706,317.0
707,276.0
708,598.0
709,303.0
710,301.0
711,610.0
712,291.0
713,310.0
714,597.0
715,315.0
716,279.0
717,299.0
718,301.0
719,300.0
720,301.0
721,308.0
722,594.0
723,300.0
724,300.0
725,301.0
726,334.0
727,266.0
728,300.0
729,301.0
730,300.0
731,301.0
732,300.0
733,301.0
734,299.0
735,310.0
736,292.0
737,299.0
738,602.0
739,300.0
740,300.0
741,307.0
742,295.0
743,299.0
744,301.0
745,601.0
746,299.0
747,309.0
748,593.0
749,299.0
750,302.0
751,607.0
752,300.0
753,293.0
754,301.0
755,300.0
756,301.0
757,300.0
758,322.0
759,290.0
760,593.0
761,301.0
762,299.0
763,299.0
764,609.0
765,300.0
766,592.0
767,329.0
768,271.0
769,600.0
770,302.0
771,300.0
772,902.0
773,600.0
774,624.0
775,277.0
776,600.0
777,300.0
778,309.0
779,292.0
780,299.0
781,303.0
782,300.0
783,301.0
784,307.0
785,313.0
786,286.0
787,293.0
788,301.0
789,299.0
790,303.0
791,299.0
792,309.0
793,600.0
794,300.0
795,301.0
796,893.0
797,309.0
798,593.0
799,300.0
800,299.0
801,602.0
802,301.0
803,306.0
804,895.0
805,299.0
806,309.0
807,293.0
808,301.0
809,299.0
810,302.0
811,299.0
812,601.0
813,326.0
814,275.0
815,300.0
816,300.0
817,300.0
818,301.0
819,301.0
820,300.0
821,300.0
822,308.0
823,601.0
824,325.0
825,268.0
826,600.0
827,302.0
828,299.0
829,902.0
830,300.0
831,601.0
832,328.0
833,272.0
834,301.0
835,299.0
836,300.0
837,309.0
838,293.0
839,307.0
840,294.0
841,301.0
842,307.0
843,293.0
844,325.0
845,276.0
846,300.0
847,311.0
848,290.0
849,300.0
850,310.0
851,290.0
852,602.0
853,300.0
854,300.0
855,320.0
856,281.0
857,299.0
858,301.0
859,902.0
860,300.0
861,900.0
862,300.0
863,602.0
864,300.0
865,300.0
866,301.0
867,299.0
868,301.0
869,302.0
870,300.0
871,307.0
872,300.0
873,293.0
874,331.0
875,269.0
876,602.0
877,299.0
878,301.0
879,301.0
880,300.0
881,300.0
882,300.0
883,609.0
884,320.0
885,281.0
886,894.0
887,299.0
888,608.0
889,295.0
890,299.0
891,601.0
892,334.0
893,266.0
894,302.0
895,299.0
896,300.0
897,302.0
898,300.0
899,301.0
900,300.0
901,301.0
902,298.0
903,300.0
904,331.0
905,271.0
906,301.0
907,299.0
908,602.0
909,299.0
910,309.0
911,293.0
912,301.0
913,298.0
914,302.0
915,901.0
916,300.0
917,608.0
918,293.0
919,301.0
920,601.0
921,307.0
922,292.0
923,322.0
924,279.0
925,602.0
926,300.0
927,300.0
928,308.0
929,292.0
930,302.0
931,300.0
932,307.0
933,293.0
934,339.0
935,261.0
936,902.0
937,301.0
938,308.0
939,300.0
940,293.0
941,299.0
942,309.0
943,292.0
944,330.0
945,278.0
946,592.0
947,609.0
948,595.0
949,301.0
950,300.0
951,585.0
952,347.0
953,275.0
954,294.0
955,301.0
956,300.0
957,299.0
958,307.0
959,294.0
960,301.0
961,601.0
962,306.0
963,327.0
964,279.0
965,287.0
966,309.0
967,895.0
968,300.0
969,310.0
970,591.0
971,299.0
972,603.0
973,307.0
974,292.0
975,602.0
976,300.0
977,300.0
978,301.0
979,900.0
980,325.0
981,289.0
982,287.0
983,312.0
984,288.0
985,302.0
986,310.0
987,300.0
988,292.0
989,299.0
990,301.0
991,300.0
992,320.0
993,288.0
994,594.0
995,300.0
996,300.0
997,300.0
998,301.0
999,300.0
1000,301.0
1001,307.0
1002,627.0
1003,277.0
1004,892.0
1005,299.0
1006,301.0
1007,301.0
1008,300.0
1009,301.0
1010,297.0
1011,303.0
1012,342.0
1013,258.0
1014,300.0
1015,301.0
1016,300.0
1017,300.0
1018,300.0
1019,300.0
1020,301.0
1021,301.0
1022,308.0
1023,292.0
1024,587.0
1025,313.0
1026,301.0
1027,302.0
1028,300.0
1029,300.0
1030,301.0
1031,299.0
1032,608.0
1033,294.0
1034,323.0
1035,580.0
1036,301.0
1037,301.0
1038,308.0
1039,292.0
1040,300.0
1041,315.0
1042,287.0
1043,300.0
1044,299.0
1045,328.0
1046,278.0
1047,593.0
1048,302.0
1049,306.0
1050,294.0
1051,301.0
1052,300.0
1053,301.0
1054,298.0
1055,627.0
1056,282.0
1057,294.0
1058,307.0
1059,293.0
1060,309.0
1061,302.0
1062,598.0
1063,293.0
1064,307.0
1065,294.0
1066,321.0
1067,286.0
1068,293.0
1069,608.0
1070,293.0
1071,309.0
1072,293.0
1073,308.0
1074,300.0
1075,292.0
1076,308.0
1077,579.0
1078,314.0
1079,302.0
1080,300.0
1081,299.0
1082,301.0
1083,309.0
1084,293.0
1085,300.0
1086,300.0
1087,299.0
1088,332.0
1089,269.0
1090,301.0
1091,300.0
1092,308.0
1093,592.0
1094,303.0
1095,307.0
1096,293.0
1097,301.0
1098,300.0
1099,338.0
1100,561.0
1101,302.0
1102,300.0
1103,608.0
1104,292.0
1105,301.0
1106,301.0
1107,935.0
1108,266.0
1109,308.0
1110,301.0
1111,293.0
1112,300.0
1113,306.0
1114,295.0
1115,299.0
1116,302.0
1117,299.0
1118,301.0
1119,329.0
1120,271.0
1121,300.0
1122,608.0
1123,293.0
1124,310.0
1125,593.0
1126,300.0
1127,306.0
1128,620.0
1129,274.0
1130,300.0
1131,603.0
1132,298.0
1133,301.0
1134,601.0
1135,901.0
1136,340.0
1137,262.0
1138,299.0
1139,301.0
1140,300.0
1141,301.0
1142,301.0
1143,300.0
1144,301.0
1145,300.0
1146,300.0
1147,300.0
1148,901.0
1149,299.0
1150,302.0
1151,299.0
1152,309.0
1153,293.0
1154,308.0
1155,293.0
1156,300.0
1157,300.0
1158,331.0
1159,871.0
1160,300.0
1161,902.0
1162,299.0
1163,901.0
1164,328.0
1165,273.0
1166,301.0
1167,600.0
1168,300.0
1169,300.0
1170,300.0
1171,302.0
1172,300.0
1173,300.0
1174,300.0
1175,323.0
1176,291.0
1177,293.0
1178,898.0
1179,301.0
1180,601.0
1181,302.0
1182,326.0
1183,600.0
1184,279.0
1185,292.0
1186,601.0
1187,301.0
1188,300.0
1189,902.0
1190,298.0
1191,627.0
1192,287.0
1193,287.0
1194,302.0
1195,301.0
1196,298.0
1197,312.0
1198,290.0
1199,310.0
1200,591.0
1201,310.0
1202,312.0
1203,880.0
1204,299.0
1205,602.0
1206,301.0
1207,300.0
1208,302.0
1209,598.0
1210,336.0
1211,866.0
1212,301.0
1213,300.0
1214,301.0
1215,302.0
1216,298.0
1217,901.0
1218,331.0
1219,280.0
1220,291.0
1221,300.0
1222,300.0
1223,301.0
1224,901.0
1225,308.0
1226,292.0
1227,307.0
1228,320.0
1229,274.0
1230,300.0
1231,609.0
1232,293.0
1233,300.0
1234,301.0
1235,299.0
1236,302.0
1237,298.0
1238,904.0
1239,301.0
1240,304.0
1241,300.0
1242,298.0
1243,307.0
1244,292.0
1245,608.0
1246,595.0
1247,327.0
1248,271.0
1249,300.0
1250,600.0
1251,602.0
1252,299.0
1253,301.0
1254,300.0
1255,301.0
1256,299.0
1257,327.0
1258,275.0
1259,300.0
1260,301.0
1261,300.0
1262,300.0
1263,610.0
1264,298.0
1265,894.0
1266,321.0
1267,280.0
1268,600.0
1269,301.0
1270,901.0
