,dt
12063,720.0
12064,360.0
12065,720.0
12066,660.0
12067,480.0
12068,660.0
12069,720.0
12070,600.0
12071,660.0
12072,720.0
12073,420.0
12074,660.0
12075,720.0
12076,360.0
12077,720.0
12078,660.0
12079,480.0
12080,660.0
12081,720.0
12082,360.0
12083,720.0
12084,660.0
12085,480.0
12086,660.0
12087,720.0
12088,360.0
12089,720.0
12090,660.0
12091,480.0
12092,660.0
12093,720.0
12094,360.0
12095,720.0
12096,660.0
12097,480.0
12098,660.0
12099,720.0
12100,360.0
12101,720.0
12102,660.0
12103,480.0
12104,660.0
12105,720.0
12106,360.0
12107,720.0
12108,720.0
12109,420.0
12110,660.0
12111,720.0
12112,360.0
12113,720.0
12114,660.0
12115,480.0
12116,660.0
12117,720.0
12118,360.0
12119,720.0
12120,720.0
12121,420.0
12122,660.0
12123,720.0
12124,360.0
12125,720.0
12126,720.0
12127,420.0
12128,660.0
12129,720.0
12130,360.0
12131,720.0
12132,720.0
12133,10020.0
12134,720.0
12135,660.0
12136,660.0
12137,720.0
12138,660.0
12139,360.0
12140,720.0
12141,720.0
12142,420.0
12143,720.0
12144,660.0
12145,3060.0
12146,13560.0
12147,360.0
12148,720.0
12149,720.0
12150,180.0
12151,3960.0
12152,720.0
12153,180.0
12154,900.0
12155,720.0
12156,360.0
12157,720.0
12158,1320.0
12159,660.0
12160,720.0
12161,360.0
12162,720.0
12163,720.0
12164,420.0
12165,660.0
12166,720.0
12167,1260.0
12168,14220.0
12169,720.0
12170,360.0
12171,660.0
12172,35460.0
12173,660.0
12174,720.0
12175,360.0
12176,720.0
12177,84000.0
12178,660.0
12179,720.0
12180,360.0
12181,720.0
12182,840.0
12183,1500.0
12184,660.0
12185,720.0
12186,360.0
12187,1680.0
12188,1500.0
12189,660.0
12190,720.0
12191,15660.0
12192,360.0
12193,720.0
12194,9120.0
12195,28620.0
12196,720.0
12197,720.0
12198,360.0
12199,660.0
12200,720.0
12201,300.0
12202,720.0
12203,720.0
12204,540.0
12205,720.0
12206,720.0
12207,180.0
12208,720.0
12209,720.0
12210,360.0
12211,660.0
12212,720.0
12213,2340.0
12214,1200.0
12215,720.0
12216,720.0
12217,7920.0
12218,720.0
12219,660.0
12220,8580.0
12221,660.0
12222,720.0
12223,240.0
12224,1620.0
12225,360.0
12226,660.0
12227,720.0
12228,660.0
12229,660.0
12230,720.0
12231,600.0
12232,660.0
12233,720.0
12234,155880.0
12235,660.0
12236,720.0
12237,360.0
12238,720.0
12239,660.0
12240,300.0
12241,720.0
12242,660.0
12243,600.0
12244,720.0
12245,720.0
12246,180.0
12247,720.0
12248,720.0
12249,360.0
12250,660.0
12251,720.0
12252,420.0
12253,720.0
12254,720.0
12255,360.0
12256,660.0
12257,720.0
12258,420.0
12259,720.0
12260,720.0
12261,360.0
12262,660.0
12263,720.0
12264,20820.0
12265,660.0
12266,720.0
12267,600.0
12268,660.0
12269,720.0
12270,240.0
12271,660.0
12272,720.0
12273,360.0
12274,720.0
12275,660.0
12276,480.0
12277,660.0
12278,720.0
12279,360.0
12280,720.0
12281,660.0
12282,480.0
12283,660.0
12284,720.0
12285,360.0
12286,720.0
12287,660.0
12288,480.0
12289,660.0
12290,720.0
12291,360.0
12292,720.0
12293,660.0
12294,480.0
12295,660.0
12296,720.0
12297,360.0
12298,720.0
12299,720.0
12300,420.0
12301,660.0
12302,720.0
12303,360.0
12304,720.0
12305,720.0
12306,420.0
12307,660.0
12308,720.0
12309,360.0
12310,720.0
12311,720.0
12312,420.0
12313,660.0
12314,720.0
12315,360.0
12316,720.0
12317,720.0
12318,420.0
12319,660.0
12320,720.0
12321,360.0
12322,720.0
12323,720.0
12324,420.0
12325,660.0
12326,720.0
12327,360.0
12328,720.0
12329,720.0
12330,420.0
12331,660.0
12332,720.0
12333,360.0
12334,720.0
12335,720.0
12336,420.0
12337,660.0
12338,720.0
12339,360.0
12340,720.0
12341,720.0
12342,420.0
12343,660.0
12344,720.0
12345,360.0
12346,720.0
12347,720.0
12348,420.0
12349,660.0
12350,780.0
12351,18180.0
12352,720.0
12353,660.0
12354,360.0
12355,720.0
12356,720.0
12357,420.0
12358,720.0
12359,660.0
12360,660.0
12361,660.0
12362,720.0
12363,180.0
12364,720.0
12365,660.0
12366,360.0
12367,720.0
12368,720.0
12369,420.0
12370,720.0
12371,660.0
12372,360.0
12373,720.0
12374,720.0
12375,36840.0
12376,720.0
12377,720.0
12378,420.0
12379,660.0
12380,720.0
12381,360.0
12382,720.0
12383,720.0
12384,7320.0
12385,660.0
12386,720.0
12387,360.0
12388,660.0
12389,720.0
12390,480.0
12391,660.0
12392,720.0
12393,600.0
12394,720.0
12395,1980.0
12396,660.0
12397,720.0
12398,600.0
12399,660.0
12400,1380.0
12401,4920.0
12402,180.0
12403,6660.0
12404,660.0
12405,2160.0
12406,660.0
12407,720.0
12408,180.0
12409,780.0
12410,720.0
12411,360.0
12412,660.0
12413,900.0
12414,180.0
12415,720.0
12416,720.0
12417,1260.0
12418,2160.0
12419,720.0
12420,720.0
12421,3060.0
12422,2880.0
12423,660.0
12424,720.0
12425,180.0
12426,720.0
12427,2100.0
12428,720.0
12429,900.0
12430,720.0
12431,660.0
12432,420.0
12433,660.0
12434,720.0
12435,8160.0
12436,720.0
12437,360.0
12438,720.0
12439,720.0
12440,420.0
12441,660.0
12442,720.0
12443,360.0
12444,720.0
12445,720.0
12446,420.0
12447,1380.0
12448,360.0
12449,720.0
12450,720.0
12451,420.0
12452,660.0
12453,720.0
12454,360.0
12455,720.0
12456,720.0
12457,420.0
12458,660.0
12459,720.0
12460,360.0
12461,720.0
12462,720.0
12463,420.0
12464,660.0
12465,720.0
12466,360.0
12467,720.0
12468,720.0
12469,6180.0
12470,720.0
12471,360.0
12472,720.0
12473,660.0
12474,240.0
12475,660.0
12476,720.0
12477,420.0
12478,660.0
12479,720.0
12480,30480.0
12481,5940.0
12482,660.0
12483,720.0
12484,360.0
12485,720.0
12486,720.0
12487,38280.0
12488,660.0
12489,7920.0
12490,720.0
12491,720.0
12492,360.0
12493,660.0
12494,720.0
12495,11280.0
12496,720.0
12497,45240.0
12498,2220.0
12499,720.0
12500,6900.0
12501,360.0
12502,660.0
12503,720.0
12504,180.0
12505,660.0
12506,720.0
12507,360.0
12508,720.0
12509,660.0
12510,480.0
12511,660.0
12512,720.0
12513,360.0
12514,1620.0
12515,6780.0
12516,300.0
12517,720.0
12518,720.0
12519,9300.0
12520,3120.0
12521,720.0
12522,420.0
12523,660.0
12524,720.0
12525,360.0
12526,6000.0
12527,660.0
12528,720.0
12529,360.0
12530,660.0
12531,720.0
12532,7380.0
12533,660.0
12534,720.0
12535,7980.0
12536,660.0
12537,180.0
12538,720.0
12539,720.0
12540,360.0
12541,660.0
12542,720.0
12543,420.0
12544,720.0
12545,720.0
12546,360.0
12547,660.0
12548,720.0
12549,8100.0
12550,720.0
12551,180.0
12552,720.0
12553,660.0
12554,360.0
12555,720.0
12556,720.0
12557,420.0
12558,33420.0
12559,180.0
12560,660.0
12561,1320.0
12562,660.0
12563,720.0
12564,240.0
12565,660.0
12566,2220.0
12567,720.0
12568,180.0
12569,4020.0
12570,6600.0
12571,660.0
12572,720.0
12573,180.0
12574,720.0
12575,720.0
12576,1200.0
12577,720.0
12578,300.0
12579,660.0
12580,3120.0
12581,180.0
12582,720.0
12583,720.0
12584,300.0
12585,720.0
12586,720.0
12587,14040.0
12588,8940.0
12589,6240.0
12590,360.0
12591,1620.0
12592,180.0
12593,660.0
12594,720.0
12595,360.0
12596,1740.0
12597,600.0
12598,720.0
12599,720.0
12600,300.0
12601,720.0
12602,720.0
12603,3780.0
12604,840.0
12605,120.0
12606,4080.0
12607,4380.0
12608,1740.0
12609,1740.0
12610,180.0
12611,720.0
12612,720.0
12613,300.0
12614,720.0
12615,720.0
12616,9000.0
12617,180.0
12618,2220.0
12619,660.0
12620,720.0
12621,180.0
12622,720.0
12623,3540.0
12624,660.0
12625,720.0
12626,360.0
12627,660.0
12628,720.0
12629,480.0
12630,660.0
12631,720.0
12632,360.0
12633,660.0
12634,21060.0
12635,720.0
12636,660.0
12637,360.0
12638,720.0
12639,720.0
12640,7680.0
12641,660.0
12642,720.0
12643,15240.0
12644,720.0
12645,360.0
12646,660.0
12647,720.0
12648,6480.0
12649,360.0
12650,660.0
12651,840.0
12653,720.0
12654,720.0
12655,180.0
12656,660.0
12657,720.0
12658,360.0
12659,720.0
12660,660.0
12661,480.0
12662,660.0
12663,720.0
12664,360.0
12665,660.0
12666,720.0
12667,6900.0
12668,360.0
12669,720.0
12670,660.0
12671,10140.0
12672,900.0
12673,660.0
12674,360.0
12675,720.0
12676,660.0
12677,480.0
12678,720.0
12679,660.0
12680,360.0
12681,720.0
12682,660.0
12683,480.0
12684,840.0
12685,3060.0
12686,720.0
12687,32940.0
12688,660.0
12689,720.0
12690,360.0
12691,720.0
12692,660.0
12693,360.0
12694,720.0
12695,660.0
12696,600.0
12697,2700.0
12698,840.0
12699,1740.0
12700,780.0
12701,720.0
12702,180.0
12703,720.0
12704,720.0
12705,360.0
12706,660.0
12707,720.0
12708,480.0
12709,780.0
12710,780.0
12711,360.0
12712,720.0
12713,660.0
12714,240.0
12715,720.0
12716,720.0
12717,360.0
12718,660.0
12719,780.0
12720,1260.0
12721,720.0
12722,720.0
12723,1200.0
12724,660.0
12725,720.0
12726,420.0
12727,720.0
12728,1500.0
12729,660.0
12730,720.0
12731,180.0
12732,720.0
12733,720.0
12734,360.0
12735,660.0
12736,720.0
12737,1020.0
12738,720.0
12739,720.0
12740,1200.0
12741,660.0
12742,720.0
12743,180.0
12744,660.0
12745,720.0
12746,360.0
12747,720.0
12748,660.0
12749,480.0
12750,660.0
12751,720.0
12752,360.0
12753,720.0
12754,1740.0
12755,720.0
12756,780.0
12757,360.0
12758,660.0
12759,900.0
12760,1080.0
12761,660.0
12762,720.0
12763,360.0
12764,900.0
12765,720.0
12766,360.0
12767,720.0
12768,900.0
12769,11280.0
12770,660.0
12771,2160.0
12772,720.0
12773,180.0
12774,720.0
12775,720.0
12776,1200.0
12777,660.0
12778,720.0
12779,420.0
12780,660.0
12781,720.0
12782,1200.0
12783,720.0
12784,1920.0
12785,720.0
12786,720.0
12787,1320.0
12788,720.0
12789,660.0
12790,660.0
12791,780.0
12792,1500.0
12793,720.0
12794,180.0
12795,2640.0
12796,720.0
12797,840.0
12798,180.0
12799,720.0
12800,2100.0
12801,720.0
12802,720.0
12803,1440.0
12804,720.0
12805,660.0
12806,1200.0
12807,720.0
12808,720.0
12809,5700.0
12810,660.0
12811,720.0
12812,360.0
12813,1680.0
12814,180.0
12815,660.0
12816,2160.0
12817,1620.0
12818,420.0
12819,660.0
12820,720.0
12821,360.0
12822,660.0
12823,720.0
12824,1380.0
12825,720.0
12826,360.0
12827,660.0
12828,1260.0
12829,720.0
12830,660.0
12831,360.0
12832,720.0
12833,720.0
12834,1440.0
12835,660.0
12836,360.0
12837,1620.0
12838,10320.0
12839,1320.0
12840,1620.0
12841,180.0
12842,660.0
12843,720.0
12844,360.0
12845,10560.0
12846,780.0
12847,720.0
12848,660.0
12849,240.0
12850,660.0
12851,720.0
12852,1200.0
12853,780.0
12854,720.0
12855,1260.0
12856,720.0
12857,720.0
12858,420.0
12859,1620.0
12860,1620.0
12861,840.0
12862,360.0
12863,780.0
12864,660.0
12865,6240.0
12866,660.0
12867,720.0
12868,360.0
12869,720.0
12870,660.0
12871,360.0
12872,720.0
12873,780.0
12874,600.0
12875,720.0
12876,660.0
12877,420.0
12878,1620.0
12879,1260.0
12880,660.0
12881,1800.0
12882,1620.0
12883,1200.0
12884,660.0
12885,720.0
12886,180.0
12887,900.0
12888,2100.0
12889,720.0
12890,720.0
12891,8940.0
12892,720.0
12893,15360.0
12894,360.0
12895,1620.0
12896,420.0
12897,660.0
12898,840.0
12899,600.0
12900,720.0
12901,840.0
12902,180.0
12903,720.0
12904,2340.0
12905,840.0
12906,720.0
12907,900.0
12908,660.0
12909,720.0
12910,360.0
12911,720.0
12912,1560.0
12913,660.0
12914,720.0
12915,360.0
12916,660.0
12917,720.0
12918,13380.0
12919,3060.0
12920,180.0
12921,720.0
12922,660.0
12923,420.0
12924,660.0
12925,720.0
12926,420.0
12927,720.0
12928,660.0
12929,1200.0
12930,720.0
12931,720.0
12932,180.0
12933,660.0
12934,720.0
12935,360.0
12936,3120.0
12937,660.0
12938,720.0
12939,360.0
12940,660.0
12941,720.0
12942,1320.0
12943,660.0
12944,720.0
12945,360.0
12946,660.0
12947,720.0
12948,420.0
12949,3120.0
12950,660.0
12951,720.0
12952,420.0
12953,660.0
12954,720.0
12955,360.0
12956,720.0
12957,660.0
12958,480.0
12959,660.0
12960,720.0
12961,1200.0
12962,720.0
12963,720.0
12964,360.0
12965,720.0
12966,780.0
12967,1200.0
12968,720.0
12969,2400.0
12970,660.0
12971,2160.0
12972,660.0
12973,720.0
12974,660.0
12975,660.0
12976,720.0
12977,360.0
12978,660.0
12979,720.0
12980,480.0
12981,660.0
12982,720.0
12983,600.0
12984,660.0
12985,720.0
12986,6480.0
12987,360.0
12988,660.0
12989,1980.0
12990,720.0
12991,660.0
12992,360.0
12993,720.0
12994,1560.0
12995,660.0
12996,720.0
12997,360.0
12998,720.0
12999,720.0
13000,9060.0
13001,360.0
13002,900.0
13003,900.0
13004,1020.0
13005,720.0
13006,720.0
13007,840.0
13008,660.0
13009,720.0
13010,180.0
13011,720.0
13012,660.0
13013,420.0
13014,660.0
13015,720.0
13016,420.0
13017,1620.0
13018,360.0
13019,720.0
13020,720.0
13021,180.0
13022,720.0
13023,660.0
13024,360.0
13025,720.0
13026,720.0
13027,6780.0
13028,660.0
13029,1080.0
13030,3360.0
13031,1680.0
13032,360.0
13033,660.0
13034,720.0
13035,14520.0
13036,660.0
13037,420.0
13038,660.0
13039,720.0
13040,180.0
13041,720.0
13042,720.0
13043,22020.0
13044,14100.0
13045,660.0
13046,600.0
13047,720.0
13048,900.0
13049,19620.0
13050,900.0
13051,600.0
13052,1680.0
13053,420.0
13054,2640.0
13055,660.0
13056,1560.0
13057,720.0
13058,660.0
13059,420.0
13060,660.0
13061,1740.0
13062,780.0
13063,720.0
13064,360.0
13065,720.0
13066,660.0
13067,1380.0
13068,900.0
13069,1980.0
13070,240.0
13071,2460.0
13072,660.0
13073,720.0
13074,420.0
13075,1680.0
13076,2100.0
13077,720.0
13078,7200.0
13079,780.0
13080,1200.0
13081,720.0
13082,720.0
13083,1260.0
13084,660.0
13085,1740.0
13086,2880.0
13087,960.0
13088,660.0
13089,420.0
13090,660.0
13091,1140.0
13092,2640.0
13093,660.0
13094,780.0
13095,1620.0
13096,360.0
13097,1800.0
13098,7440.0
13099,720.0
13100,600.0
13101,660.0
13102,720.0
13103,180.0
13104,780.0
13105,900.0
13106,360.0
13107,660.0
13108,720.0
13109,5460.0
13110,720.0
13111,1260.0
13112,720.0
13113,720.0
13114,420.0
13115,3960.0
13116,660.0
13117,240.0
13118,660.0
13119,720.0
13120,1320.0
13121,1620.0
13122,7860.0
13123,360.0
13124,780.0
13125,1560.0
13126,660.0
13127,720.0
13128,540.0
13129,720.0
13130,720.0
13131,7800.0
13132,1320.0
13133,720.0
13134,660.0
13135,240.0
13136,660.0
13137,720.0
13138,360.0
13139,660.0
13140,720.0
13141,7860.0
13142,360.0
13143,660.0
13144,720.0
13145,180.0
13146,720.0
13147,720.0
13148,360.0
13149,660.0
13150,720.0
13151,420.0
13152,720.0
13153,720.0
13154,360.0
13155,660.0
13156,720.0
13157,420.0
13158,720.0
13159,720.0
13160,360.0
13161,660.0
13162,720.0
13163,420.0
13164,720.0
13165,720.0
13166,540.0
13167,720.0
13168,720.0
13169,420.0
13170,660.0
13171,720.0
13172,360.0
13173,720.0
13174,660.0
13175,480.0
13176,660.0
13177,720.0
13178,360.0
13179,720.0
13180,660.0
13181,480.0
13182,660.0
13183,720.0
13184,600.0
13185,660.0
13186,720.0
13187,240.0
13188,660.0
13189,720.0
13190,360.0
13191,720.0
13192,660.0
13193,480.0
13194,660.0
13195,720.0
13196,360.0
13197,720.0
13198,660.0
13199,45060.0
13200,180.0
13201,660.0
13202,720.0
13203,360.0
13204,720.0
13205,660.0
13206,480.0
13207,660.0
13208,720.0
13209,420.0
13210,660.0
13211,720.0
13212,420.0
13213,660.0
13214,720.0
13215,420.0
13216,660.0
13217,720.0
13218,420.0
13219,720.0
13220,660.0
13221,360.0
13222,720.0
13223,720.0
13224,420.0
13225,720.0
13226,660.0
13227,360.0
13228,720.0
13229,720.0
13230,420.0
13231,720.0
13232,660.0
13233,600.0
13234,720.0
13235,660.0
13236,480.0
13237,660.0
13238,720.0
13239,360.0
13240,720.0
13241,660.0
13242,480.0
13243,660.0
13244,720.0
13245,360.0
13246,720.0
13247,660.0
13248,480.0
13249,660.0
13250,720.0
13251,360.0
13252,720.0
13253,660.0
13254,480.0
13255,660.0
13256,720.0
13257,360.0
13258,720.0
13259,660.0
13260,480.0
13261,660.0
13262,720.0
13263,360.0
13264,720.0
13265,720.0
13266,420.0
13267,660.0
13268,720.0
13269,360.0
13270,720.0
13271,720.0
13272,420.0
13273,660.0
13274,720.0
13275,360.0
13276,720.0
13277,660.0
13278,480.0
13279,660.0
13280,720.0
13281,600.0
13282,660.0
13283,720.0
13284,240.0
13285,660.0
13286,720.0
13287,360.0
13288,720.0
13289,660.0
13290,480.0
13291,660.0
13292,720.0
13293,600.0
13294,720.0
13295,660.0
13296,240.0
13297,660.0
13298,46020.0
13299,720.0
13300,660.0
13301,420.0
13302,660.0
13303,720.0
13304,420.0
13305,720.0
13306,660.0
13307,360.0
13308,720.0
13309,720.0
13310,420.0
13311,720.0
13312,660.0
13313,420.0
13314,660.0
13315,720.0
13316,420.0
13317,720.0
13318,660.0
13319,840.0
13320,720.0
13321,660.0
13322,420.0
13323,720.0
13324,720.0
13325,360.0
13326,660.0
13327,720.0
13328,420.0
13329,720.0
13330,720.0
13331,540.0
13332,720.0
13333,720.0
13334,180.0
13335,720.0
13336,720.0
13337,360.0
13338,660.0
13339,720.0
13340,420.0
13341,720.0
13342,720.0
13343,360.0
13344,660.0
13345,720.0
13346,420.0
13347,720.0
13348,720.0
13349,360.0
13350,660.0
13351,720.0
13352,420.0
13353,720.0
13354,720.0
13355,360.0
13356,660.0
13357,720.0
13358,420.0
13359,720.0
13360,720.0
13361,360.0
13362,660.0
13363,720.0
13364,420.0
13365,720.0
13366,720.0
13367,360.0
13368,660.0
13369,720.0
13370,420.0
13371,720.0
13372,720.0
13373,360.0
13374,660.0
13375,720.0
13376,1380.0
13377,660.0
13378,420.0
13379,660.0
13380,720.0
13381,180.0
13382,720.0
13383,720.0
13384,360.0
13385,660.0
13386,720.0
13387,420.0
13388,720.0
13389,720.0
13390,360.0
13391,660.0
13392,720.0
13393,420.0
13394,720.0
13395,720.0
13396,360.0
13397,660.0
13398,720.0
13399,420.0
13400,720.0
13401,720.0
13402,360.0
13403,660.0
13404,720.0
13405,480.0
13406,660.0
13407,720.0
13408,600.0
13409,660.0
13410,720.0
13411,420.0
13412,720.0
13413,660.0
13414,360.0
13415,720.0
13416,720.0
13417,420.0
13418,720.0
13419,660.0
13420,600.0
13421,720.0
13422,660.0
13423,420.0
13424,720.0
13425,720.0
13426,360.0
13427,660.0
13428,720.0
13429,420.0
13430,720.0
13431,720.0
13432,360.0
13433,660.0
13434,720.0
13435,420.0
13436,720.0
13437,720.0
13438,360.0
13439,660.0
13440,720.0
13441,420.0
13442,720.0
13443,720.0
13444,360.0
13445,660.0
13446,720.0
13447,480.0
13448,660.0
13449,720.0
13450,360.0
13451,720.0
13452,660.0
13453,480.0
13454,660.0
13455,720.0
13456,360.0
13457,720.0
13458,660.0
13459,480.0
13460,660.0
13461,720.0
13462,360.0
13463,720.0
13464,720.0
13465,420.0
13466,660.0
13467,720.0
13468,360.0
13469,720.0
13470,660.0
13471,480.0
13472,660.0
13473,720.0
13474,360.0
13475,720.0
13476,660.0
13477,480.0
13478,660.0
13479,720.0
13480,360.0
13481,720.0
13482,720.0
13483,420.0
13484,660.0
13485,720.0
13486,360.0
13487,720.0
13488,660.0
13489,480.0
13490,660.0
13491,720.0
